KEY,English,French,German,Spanish,Japanese,Chinese,Italian,Russian,Portuguese,Deutsch
JellyBean,"Jelly Bean","bonbon gélifié","Gelee Bohne","gominola","個のグミ","果冻豆","Jelly bean","конфетку джели","jujuba","snoepje"
JellyBeans,"Jelly Beans","bonbons gélifiés","Gelee Bohnen","gominolas","個のグミ","果冻豆","Jelly beans","конфетки джели","jujubas","snoepjes"
JellyBeans_Rus,"","","","","","","","конфеток джели","",""

HotPepper,"Hot Pepper","piment","Pfefferschote","chile picante","個の唐辛子","辣椒","peperoncino","острый перчик","pimenta","hete peper"
HotPeppers,"Hot Peppers","piments","Pfefferschoten","chiles picantes","個の唐辛子","辣椒","peperoncini","острых перчика","pimentas","hete pepers"
HotPeppers_Rus,"","","","","","","","острых перчиков","",""

Lemonslice,"Lemon Slice","rondelle de citron","Zitronenscheibe","rodaja de limón","切れのレモン","柠檬片","fetta di imone","кусочек лимона","fatia de limão amarelo","schijfje citroen"
Lemonslices,"Lemon Slices","rondelles de citron","Zitronenscheiben","rodajas de limón","切れのレモン","柠檬片","fette di limone","кусочка лимона","fatias de limão amarelo","schijfjes citroen"
Lemonslices_Rus,"","","","","","","","косочков лимона","",""

Peppermint,"Peppermint Candy","bonbon à la menthe","Pfefferminz-Bonbon","caramelo de menta","個のペパーミント キャンディ","薄荷糖","caramella alla menta","мятная конфетка","bala de hortelã","pepermuntje"
Peppermints,"Peppermint Candies","bonbons à la menthe","Pfefferminz-Bonbons","caramelos de menta","個のペパーミント キャンディ","薄荷糖","caramelle alla menta","мятные конфетки","balas de hortelã","pepermuntjes"
Peppermints_Rus,"","","","","","","","мятных конфеток","",""

Chocolatesquare,"Chocolate square","carré de chocolat","Schokoladentafel","porción de chocolate","個のチョコレート","巧克力","quadretto di cioccolata","плитка шоколада","quadrado de chocolate","stuk chocola"
Chocolatesquares,"Chocolate squares","carrés de chocolat","Schokoladentafeln","porciónes de chocolate","個のチョコレート","巧克力","quadretti di cioccolata","плитки шоколада","quadrados de chocolate","stukken chocola"
Chocolatesquares_Rus,"","","","","","","","плиток шоколада","",""

Olive,"Olive","Olive","Olive","aceituna","個のオリーブ","橄榄","oliva","оливка","azeitona","olijf"
Olives,"Olives","Olives","Oliven","aceitunas","個のオリーブ","橄榄","olive","оливки","azeitonas","olijven"
Olives_Rus,"","","","","","","","оливок","",""

Carrot,"Carrot","carotte","Karotte","zanahoria","本のニンジン","胡萝卜","carota","морковка","cenoura","wortel"
Carrots,"Carrots","carottes","Karotten","zanahorias","本のニンジン","胡萝卜","carote","морковки","cenouras","wortels"
Carrots_Rus,"","","","","","","","морковок","",""

Banana,"Banana","banane","Banane","plátano","本のバナナ","香蕉","banana","банан","banana","banaan"
Bananas,"Bananas","bananes","Bananen","plátanos","本のバナナ","香蕉","banane","банана","bananas","bananen"
Bananas_Rus,"","","","","","","","бананов","",""

Brusselssprout,"Brussels sprout","chou de Bruxelles","Rosenkohl","col de Bruselas","個の芽キャベツ","小椰菜","cavolino di Bruxelles","бруссельская капуста","Couve-de-bruxelas","spruitje"
Brusselssprouts,"Brussels sprouts","choux de Bruxelles","Rosenkohle","coles de Bruselas","個の芽キャベツ","小椰菜","cavolini di Bruxelles","брюссельской капусты","Couves-de-bruxelas","spruitjes"
Brusselssprouts_Rus,"","","","","","","","брюссельской капусты","",""

Cherry,"Cherry","cerise","Kirsche","cereza","個のさくらんぼ","樱桃","ciliegia","вишенка","cereja","kers"
Cherries,"Cherries","cerises","Kirschen","cerezas","個のさくらんぼ","樱桃","ciliegie","вишенки","cerejas","kersen"
Cherries_Rus,"","","","","","","","вишенок","",""

Cucumberslice,"Cucumber slice","tranche de concombre","Gurkenscheibe","rodaja de pepino","切れのきゅうり","小黄瓜片","fetta di cetriolo","кусочек огурца","fatia de pepino","plakje komkommer"
Cucumberslices,"Cucumber slices","tranches de concombre","Gurkenscheiben","rodajas de pepino","切れのきゅうり","小黄瓜片","fette di cetriolo","кусочка огурца","fatias de pepino","plakjes komkommer"
Cucumberslices_Rus,"","","","","","","","кусочков огурца","",""

Kiwislice,"Kiwi slice","tranche de kiwi","Kiwischeibe","rodaja de kiwi","切れのキウイ","弥猴桃片","fetta di kiwi","кусочек киви","fatia de kiwi","schijfje kiwi"
Kiwislices,"Kiwi slices","tranches de kiwi","Kiwischeiben","rodajas de kiwi","切れのキウイ","弥猴桃片","fette di kiwi","кусочка киви","fatias de kiwi","schijfjes kiwi"
Kiwislices_Rus,"","","","","","","","кусочков киви","",""

Limeslice,"Lime slice","rondelle de citron vert","Limettenscheibe","rodaja de lima","切れのライム","莱姆片","fetta di lime","кусочек лайма","fatia de limão verde","schijfje limoen"
Limeslices,"Lime slices","rondelles de citron ver","Limettenscheiben","rodajas de lima","切れのライム","莱姆片","fette di lime","кусочка лайма","fatias de limão verde","schijfjes limoen"
Limeslices_Rus,"","","","","","","","кусочков лайма","",""

Pickle,"pickle","cornichon","Essiggurke","pepinillo","本のピクルス","腌黄瓜","sottaceto","соленый огурец","pepino em conserva","augurk"
Pickles,"pickles","cornichons","Essiggurken","pepinillos","本のピクルス","腌黄瓜","sottaceti","соленых огурца","pepinos em conserva","augurken"
Pickles_Rus,"","","","","","","","соленых огурцов","",""

Pineapplering,"Pineapple ring","ananas","Ananas","piña","個のパイナップル","菠萝","ananas","ананас","ananas","ananas"
Pineapplerings,"Pineapple rings","ananas","Ananas","piñas","個のパイナップル","菠萝","ananas","ананаса","ananas","ananassen"
Pineapplerings_Rus,"","","","","","","","ананасов","",""

Salamislice,"Salami slice","rondelle de saucisson","Salamischeibe","loncha de salami","枚のサラミ","义式腊肠片","fetta di salame","кусочек колбасы","fatia de salame","plakje salami"
Salamislices,"Salami slices","rondelles de saucisson","Salamischeiben","lonchas de salami","枚のサラミ","义式腊肠片","fette di salame","кусочка колбасы","fatias de salame","plakjes salami"
Salamislices_Rus,"","","","","","","","кусочков колбасы","",""

// kitchen 2
Mushroom,"Mushroom","champignon","Pilz","champiñón","個のマッシュルーム","蘑菇","fungo","гриб","cogumelo","champignon"
Mushrooms,"Mushrooms","champignons","Pilze","champiñones","個のマッシュルーム","蘑菇","funghi","гриба","cogumelos","champignons"
Mushrooms_Rus,"","","","","","","","грибов","",""

Onionslice,"Onion slice","rondelle d'oignon","Zwiebelscheibe","rodaja de cebolla","切れの玉ねぎ","洋葱片","fetta di cipolla","кусочек лука","fatia de cebola","uienring"
Onionslices,"Onion slices","rondelles d'oignon","Zwiebelscheiben","rodajas de cebolla","切れの玉ねぎ","洋葱片","fette di cipolla","кусочка лука","fatias de cebola","uienringen"
Onionslices_Rus,"","","","","","","","кусочков лука","",""

Tomato,"Tomato","tomate","Tomate","tomate","個のトマト","西红柿","pomodoro","помидор","tomate","tomaat"
Tomatoes,"Tomatoes","tomates","Tomaten","tomates","個のトマト","西红柿","pomodori","помидора","tomates","tomaten"
Tomatoes_Rus,"","","","","","","","помидоров","",""

Broccolifloret,"Broccoli floret","bouquet de brocoli","Brokkoli Röschen","cogollo de brócoli","個のブロッコリー","花椰菜","cimetta di broccolo","брокколи","brócolis","broccoli-roosje"
Broccoliflorets,"Broccoli florets","bouquets de brocoli","Brokkoli Röschen","cogollos de brócoli","個のブロッコリー","花椰菜","cimette di broccolo","веточки брокколи","brócolis","broccoli-roosjes"
Broccoliflorets_Rus,"","","","","","","","веточек брокколи","",""

Pretzel,"Pretzel","bretzel","Bretzel","pretzel","個のプレッツェル","蝴蝶脆饼","Pretzel","бублик","Pretzel","pretzel"
Pretzels,"Pretzels","bretzels","Bretzeln","pretzels","個のプレッツェル","蝴蝶脆饼","Pretzels","бублика","Pretzels","pretzels"
Pretzels_Rus,"","","","","","","","бубликов","",""

HeadofGarlic,"Head of Garlic","tête d'ail","Knoblauchknolle","cabeza de ajo","個のにんにく","蒜头","testa di aglio","головка чеснока","cabeça de alho","knoflookteen"
HeadsofGarlic,"Heads of Garlic","têtes d'ail","Knoblauchknollen","cabezas de ajo","個のにんにく","蒜头","teste di aglio","головки чеснока","cabeças de alho","knoflooktenen"
HeadsofGarlic_Rus,"","","","","","","","головок чеснока","",""

Baconstrip,"Bacon strip","tranche de bacon","Speckstreifen","tira de bacon","枚のベーコン","培根片","fetta di bacon","ленточка бекона","tira de bacon","stuk spek"
Baconstrips,"Bacon strips","tranches de bacon","Speckstreifen","tiras de bacon","枚のベーコン","培根片","fette di bacon","ленточки бекона","tiras de bacon","stukken spek"
Baconstrips_Rus,"","","","","","","","ленточек бекона","",""

Blueberry,"Blueberry","myrtille","Heidelbeere","arándano","個のブルーベリー","蓝莓","mirtillo","голубика","mirtilo","blauwe bes"
Blueberries,"Blueberries","myrtilles","Heidelbeeren","arándanos","個のブルーベリー","蓝莓","mirtilli","ягодки голубики","mirtilos","blauwe bessen"
Blueberries_Rus,"","","","","","","","ягод голубики","",""

Chickendrumstick,"Chicken Drumstick","pilon de poulet","Hähnchenschenkel","muslo de pollo","本のチキン","鸡腿","coscia di pollo","куриная ножка","sobrecoxa de frango","kippenpoot"
Chickendrumsticks,"Chicken Drumsticks","pilons de poulet","Hähnchenschenkel","muslos de pollo","本のチキン","鸡腿","cosce di pollo","куриные ножки","sobrecoxas de frango","kippenpoten"
Chickendrumsticks_Rus,"","","","","","","","куриных ножек","",""

Yellowpepper,"Yellow pepper","poivron jaune","gelbe Paprika","pimiento amarillo","個のパプリカ","黄椒","peperone giallo","желтый перчик","pimentão amarelo","gele paprika"
Yellowpeppers,"Yellow peppers","poivrons jaunes","gelbe Paprika","pimientos amarillos","個のパプリカ","黄椒","peperoni gialli","желтых перчика","pimentões amarelos","gele paprika's"
Yellowpeppers_Rus,"","","","","","","","желтых перчиков","",""

Radish,"Radish","radis","Rettich","rabanito","本の大根","小圆萝卜","rapa","редиска","rabanete","radijs"
Radishes,"Radishes","radis","Rettiche","rabanitos","本の大根","小圆萝卜","rape","редиски","rabanetes","radijzen"
Radishes_Rus,"","","","","","","","редисок","",""

Hotdog,"Hot dog","Hot dog","Hot dog","perrito caliente","個のホットドッグ","热狗","hot dog","сосиска","cachorro-quente","Hot dog"
Hotdogs,"Hot dogs","Hot dogs","Hot dogs","perritos calientes","個のホットドッグ","热狗","hot dogs","сосиски","cachorros-quentes","Hot dogs"
Hotdogs_Rus,"","","","","","","","сосисок","",""

// kitchen 3
Apple,"Apple","pomme","Apfel","manzana","個のりんご","苹果","mela","яблоко","maçã","appel"
Apples,"Apples","pommes","Apfel","manzanas","個のりんご","苹果","mele","яблока","maçãs","appels"
Apples_Rus,"","","","","","","","яблок","",""

Asparagusspear,"Asparagus spear","pointe d'asperge","Spargelspitze","espárrago","本のアスパラガス","芦荀","asparago","веточка спаржи","aspargo","aspergescheut"
Asparagusspears,"Asparagus spears","pointes d'asperges","Spargelspitzen","espárragos","本のアスパラガス","芦荀","asparagi","веточки спаржи","aspargos","aspergescheuten"
Asparagusspears_Rus,"","","","","","","","веточек спаржи","",""

Blackberry,"Blackberry","mûre","Brombeere","mora","個のブラックベリー","黑莓","mora","черника","amora preta","zwarte bes"
Blackberries,"Blackberries","mûres","Brombeeren","moras","個のブラックベリー","黑莓","more","ягоды черники","amoras pretas","zwarte bessen"
Blackberries_Rus,"","","","","","","","ягод черники","",""

Cracker,"Cracker","biscuit salé","Kräcker","galleta salada","枚のクラッカー","饼干","cracker","печенюшка","bolacha","Cracker"
Crackers,"Crackers","biscuits salés","Kräcker","galletas saladas","枚のクラッカー","饼干","crackers","печенюшки","bolachas","Crackers"
Crackers_Rus,"","","","","","","","печенюшек","",""

Eggplant,"Eggplant","aubergine","Aubergine","berenjena","本のなす","茄子","melanzana","баклажан","beringela","Aubergine"
Eggplants,"Eggplants","aubergines","Auberginen","berenjenas","本のなす","茄子","melanzane","баклажана","beringelas","Aubergines"
Eggplants_Rus,"","","","","","","","баклажанов","",""

Kidneybean,"Kidney bean","haricot rouge","Kidneybohne","habichuela","個のいんげん豆","菜豆","fagiolo","фасолинку","feijão","bruine boon"
Kidneybeans,"Kidney beans","haricots rouges","Kidneybohnen","habichuelas","個のいんげん豆","菜豆","fagioli","фасолинки","feijões","bruine bonen"
Kidneybeans_Rus,"","","","","","","","фасолинок","",""

Orangeslice,"Orange slice","rondelle d'orange","Orangenscheibe","rodaja de naranja","切れのオレンジ","柳橙片","spicchio di arancia","кусочек апельсина","fatia de laranja","sinaasappelpartje"
Orangeslices,"Orange slices","rondelles d'orange","Orangenscheiben","rodajas de naranja","切れのオレンジ","柳橙片","spicchi di arancia","кусочка апельсина","fatias de laranja","sinaasappelpartjes"
Orangeslices_Rus,"","","","","","","","кусочков апельсина","",""

shrimp,"shrimp","crevette","Krabbe","gamba","匹のえび","虾","gamberetto","креветка","camarão","garnaal"
shrimps,"shrimps","crevettes","Krabben","gambas","匹のえび","虾","gamberetti","креветки","camarões","garnalen"
shrimps_Rus,"","","","","","","","креветок","",""

Pearslice,"Pear slice","tranche de poire","Birnenscheibe","rodaja de pera","切れの梨","西洋梨片","spicchio di pera","кусочек груши","fatia de pera","stukje peer"
Pearslices,"Pear slices","tranches de poire","Birnenscheiben","rodajas de pera","切れの梨","西洋梨片","spicchi di pera","кусочка груши","fatias de pera","stukjes peer"
Pearslices_Rus,"","","","","","","","кусочков груши","",""

Greenpepper,"Green pepper","poivron vert","grüne Paprika","pimiento verde","個のピーマン","青椒","peperone verde","зеленый перчик","pimentão verde","groene paprika"
Greenpeppers,"Green peppers","poivrons verts","grüne Paprikas","pimientos verdes","個のピーマン","青椒","peperoni verdi","зеленых перчика","pimentões verdes","groene paprika's"
Greenpeppers_Rus,"","","","","","","","зеленых перчиков","",""

Popcornkernel,"Popcorn kernel","grain de popcorn","Popcorn Kern","palomitas","個のポップコーン カーネル","玉米花","chicco di mais","зернышко воздушной кукурузы","grão de pipoca","popcorn pit"
Popcornkernels,"Popcorn kernels","grains de popcorn","Popcorn Kerne","palomitas","個のポップコーン カーネル","玉米花","chicchi di mais","зернышка воздушной кукурузы","grãos de pipoca","popcorn pitten"
Popcornkernels_Rus,"","","","","","","","зернышек воздушной кукурузы","",""

Potato,"Potato","pomme de terre","Kartoffel","patata","個のじゃがいも","马铃薯","patata","картошка","batata","aardappel"
Potatoes,"Potatoes","pommes de terre","Kartoffeln","patatas","個のじゃがいも","马铃薯","patate","картошки","batatas","aardappels"
Potatoes_Rus,"","","","","","","","картошек","",""

Raspberry,"Raspberry","framboise","Himbeere","frambuesa","個のラズベリー","覆盆子","lampone","малина","framboesa","framboos"
Raspberries,"Raspberries","framboises","Himbeeren","frambuesas","個のラズベリー","覆盆子","lamponi","ягоды малины","framboesas","frambozen"
Raspberries_Rus,"","","","","","","","ягод малины","",""

Sardine,"Sardine","Sardine","Sardine","sardina","匹のいわし","沙丁鱼","sardina","сардина","sardinha","sardientje"
Sardines,"Sardines","Sardines","Sardinen","sardinas", "匹のいわし","沙丁鱼","sardine","сардины","sardinhas","sardientjes"
Sardines_Rus,"","","","","","","","сардин","",""

Watermelonwedge,"Watermelon Wedge","quartier de pastèque","Wassermelonenscheibe","porción de sandía","切れのスイカ","西瓜","fetta di anguria","кусочек арбуза","fatia de melancia","schijf watermeloen"
Watermelonwedges,"Watermelon Wedges","quartiers de pastèque","Wassermelonenscheiben","porciónes de sandía","切れのスイカ","西瓜","fette di anguria","кусочка арбуза","fatias de melancia","schijven watermeloen"
Watermelonwedges_Rus,"","","","","","","","кусочков арбуза","",""


// Some ingredients have two entries for plural forms. This is because some languages have masc/fem words for the number 2 also (Portuguese/Russian)
// kitchen 1 Genders
StrawberryGender,             "M","F","F","F","M","M","F","F","M","M"
StrawberriesGender,           "M","M","M","M","M","M","M","F","M","M"
StrawberriesGender2,          "M","M","M","M","M","M","M","F","M","M"

EggGender,                    "M","M","M","N","M","M","N","M","M","M"
EggsGender,                   "M","M","M","M","M","M","M","M","M","M"
EggsGender2,                  "M","M","M","M","M","M","M","M","M","M"

JellyBeanGender,              "M","M","F","F","M","M","N","F","F","M"
JellyBeansGender,             "M","M","M","M","M","M","M","F","M","M"
JellyBeansGender2,             "M","M","M","M","M","M","M","F","F","M"

HotPepperGender,              "M","M","F","N","M","M","N","M","F","M"
HotPeppersGender,             "M","M","M","M","M","M","M","M","M","M"
HotPeppersGender2,             "M","M","M","M","M","M","M","M","F","M"

LemonsliceGender,             "M","F","F","F","M","M","F","M","F","M"
LemonslicesGender,            "M","M","M","M","M","M","M","M","M","M"
LemonslicesGender2,            "M","M","M","M","M","M","M","M","F","M"

PeppermintGender,             "M","M","M","N","M","M","F","F","F","M"
PeppermintsGender,            "M","M","M","M","M","M","M","F","M","M"
PeppermintsGender2,            "M","M","M","M","M","M","M","F","F","M"

ChocolatesquareGender,        "M","M","F","F","M","M","N","F","F","M"
ChocolatesquaresGender,       "M","M","M","M","M","M","M","F","M","M"
ChocolatesquaresGender2,       "M","M","M","M","M","M","M","F","F","M"

OliveGender,                  "M","F","F","F","M","M","F","F","F","M"
OlivesGender,                 "M","M","M","M","M","M","M","F","M","M"
OlivesGender2,                 "M","M","M","M","M","M","M","F","F","M"

CarrotGender,                 "M","F","F","F","M","M","F","F","F","M"
CarrotsGender,                "M","M","M","M","M","M","M","F","M","M"
CarrotsGender2,                "M","M","M","M","M","M","M","F","F","M"

BananaGender,                 "M","F","F","N","M","M","F","M","F","M"
BananasGender,                "M","M","M","M","M","M","M","M","M","M"
BananasGender2,                "M","M","M","M","M","M","M","M","F","M"

BrusselssproutGender,         "M","M","M","F","M","M","N","M","F","M"
BrusselssproutsGender,        "M","M","M","M","M","M","M","M","M","M"
BrusselssproutsGender2,        "M","M","M","M","M","M","M","M","F","M"

CherryGender,                 "M","F","F","F","M","M","F","F","F","M"
CherriesGender,               "M","M","M ","M","M","M","M","F","M","M"
CherriesGender2,               "M","M","M","M","M","M","M","F","F","M"

CucumbersliceGender,          "M","F","F","F","M","M","F","M","F","M"
CucumberslicesGender,         "M","M","M","M","M","M","M","M","M","M"
CucumberslicesGender2,         "M","M","M","M","M","M","M","M","F","M"

KiwisliceGender,              "M","F","F","F","M","M","F","M","F","M"
KiwislicesGender,             "M","M","M","M","M","M","M","M","M","M"
KiwislicesGender2,            "M","M","M","M","M","M","M","M","F","M"

LimesliceGender,              "M","F","F","F","M","M","F","M","F","M"
LimeslicesGender,             "M","M","M","M","M","M","M","M","M","M"
LimeslicesGender2,             "M","M","M","M","M","M","M","M","F","M"

PickleGender,                 "M","M","F","N","M","M","N","M","M","M"
PicklesGender,                "M","M","M","M","M","M","M","M","M","M"
PicklesGender2,                "M","M","M","M","M","M","M","M","M","M"

PineappleringGender,          "M","M","F","F","M","M","N","M","F","M"
PineappleringsGender,         "M","M","M","M","M","M","M","M","M","M"
PineappleringsGender2,         "M","M","M","M","M","M","M","M","F","M"

SalamisliceGender,            "M","F","F","F","M","M","F","M","F","M"
SalamislicesGender,           "M","M","M","M","M","M","M","M","M","M"
SalamislicesGender2,           "M","M","M","M","M","M","M","M","F","M"


// kitchen 2 Genders
MushroomGender,               "M","M","M","N","M","M","N","M","M","M"
MushroomsGender,              "M","M","M","M","M","M","M","M,"M","M"
MushroomsGender2,              "M","M","M","M","M","M","M","M","M","M"

OnionsliceGender,             "M","F","F","F","M","M","F","M","F","M"
OnionslicesGender,            "M","M","M","M","M","M","M","M  лука","M","M"
OnionslicesGender2,            "M","M","M","M","M","M","M","M","F","M"

TomatoGender,                 "M","F","F","N","M","M","N","M","M","M"
TomatoesGender,               "M","M","M","M","M","M","M","M","M","M"
TomatoesGender2,               "M","M","M","M","M","M","M","M","M","M"

BroccolifloretGender,         "M","M","M","N","M","M","F","M","M","M"
BroccolifloretsGender,        "M","M","M","M","M","M","M","M","M","M"
BroccolifloretsGender2,        "M","M","M","M","M","M","M","M","M","M"

PretzelGender,                "M","M","F","N","M","M","N","M","M","M"
PretzelsGender,               "M","M","M","M","M","M","M","M","M","M"
PretzelsGender2,               "M","M","M","M","M","M","M","M","M","M"

HeadofGarlicGender,           "M","F","F","F","M","M","F","F","F","M"
HeadsofGarlicGender,          "M","M","M","M","M","M","M","F","M","M"
HeadsofGarlicGender2,          "M","M","M","M","M","M","M","F","F","M"

BaconstripGender,             "M","F","M","F","M","M","M","F","F","M"
BaconstripsGender,            "M","M","M","M","M","M","M","F","M","M"
BaconstripsGender2,            "M","M","M","M","M","M","M","F","F","M"

BlueberryGender,              "M","F","F","N","M","M","N","F","M","M"
BlueberriesGender,            "M","M","M","M","M","M","M","F","M","M"
BlueberriesGender2,            "M","M","M","M","M","M","M","F","M","M"

ChickendrumstickGender,       "M","M","M","N","M","M","F","F","F","M"
ChickendrumsticksGender,      "M","M","M","M","M","M","M","F","M","M"
ChickendrumsticksGender2,      "M","M","M","M","M","M","M","F","F","M"

YellowpepperGender,           "M","M","F","N","M","M","N","M","M","M"
YellowpeppersGender,          "M","M","M","M","M","M","M","M","M","M"
YellowpeppersGender2,          "M","M","M","M","M","M","M","M","M","M"

RadishGender,                 "M","M","M","N","M","M","F","F","M","M"
RadishesGender,               "M","M","M","M","M","M","M","F","M","M"
RadishesGender2,               "M","M","M","M","M","M","M","F","M","M"

HotdogGender,                 "M","M","M","N","M","M","N","F","M","M"
HotdogsGender,                "M","M","M","M","M","M","M","F","M","M"
HotdogsGender2,                "M","M","M","M","M","M","M","F","M","M"


// kitchen 3 Genders
AppleGender,          "M","F","M","F","M","M","F","M","F","M"
ApplesGender,         "M","M","M","M","M","M","M","M","M","M"
ApplesGender2,         "M","M","M","M","M","M","M","M","F","M"

AsparagusspearGender, "M","F","F","N","M","M","N","F","M","M"
AsparagusspearsGender,"M","M","M","M","M","M","M","F","M","M"
AsparagusspearsGender2,"M","M","M","M","M","M","M","F","M","M"

BlackberryGender,     "M","F","F","F","M","M","F","F","F","M"
BlackberriesGender,   "M","M","M","M","M","M","M","F","M","M"
BlackberriesGender2,   "M","M","M","M","M","M","M","F","F","M"

CrackerGender,        "M","M","M","F","M","M","N","F","F","M"
CrackersGender,       "M","M","M","M","M","M","M","F","M","M"
CrackersGender2,       "M","M","M","M","M","M","M","F","F","M"

EggplantGender,       "M","F","F","F","M","M","F","M","F","M"
EggplantsGender,      "M","M","M","M","M","M","M","M","M","M"
EggplantsGender2,      "M","M","M","M","M","M","M","M","F","M"

KidneybeanGender,     "M","M","F","F","M","M","N","F","M","M"
KidneybeansGender,    "M","M","M","M","M","M","M","F","M","M"
KidneybeansGender2,    "M","M","M","M","M","M","M","F","M","M"

OrangesliceGender,    "M","F","F","F","M","M","M","M","F","M"
OrangeslicesGender,   "M","M","M","M","M","M","M","M","M","M"
OrangeslicesGender2,   "M","M","M","M","M","M","M","M","F","M"

shrimpGender,         "M","F","F","F","M","M","N","F","M","M"
shrimpsGender,        "M","M","M","M","M","M","M","F","M","M"
shrimpsGender2,        "M","M","M","M","M","M","M","F","M","M"

PearsliceGender,      "M","F","F","G","M","M","M","M","F","M"
PearslicesGender,     "M","M","M","M","M","M","M","M","M","M"
PearslicesGender2,     "M","M","M","M","M","M","M","M","F","M"

GreenpepperGender,    "M","M","F","N","M","M","N","M","M","M"
GreenpeppersGender,   "M","M","M","M","M","M","M","M","M","M"
GreenpeppersGender2,   "M","M","M","M","M","M","M","M","M","M"

PopcornkernelGender,  "M","M","M", "","M","M","N","F","M","M"
PopcornkernelsGender, "M","M","M", "","M","M","M","F","M","M"
PopcornkernelsGender2, "M","M","M", "","M","M","M","F","M","M"

PotatoGender,         "M","F","F","F","M","M","F","F","F","M"
PotatoesGender,       "M","M","M","M","M","M","M","F","M","M"
PotatoesGender2,       "M","M","M","M","M","M","M","F","F","M"

RaspberryGender,      "M","F","F","F","M","M","N","F","F","M"
RaspberriesGender,    "M","M","M","M","M","M","M","F","M","M"
RaspberriesGender2,    "M","M","M","M","M","M","M","F","F","M"

SardineGender,        "M","F","F","F","M","M","F","F","F","M"
SardinesGender,       "M","M","M","M","M","M","M","F","M","M"
SardinesGender2,       "M","M","M","M","M","M","M","F","F","M"

WatermelonwedgeGender,"M","M","F","F","M","M","F","M","F","M"
WatermelonwedgesGender,"M","M","M","M","M","M","M","M","M","M"
WatermelonwedgesGender2,"M","M","M","M","M","M","M","M","F","M"


// Numbers
